,price,price_clipped,price_clipped_normalized,price_normalized
2023-01-01 14:00:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-01 14:15:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-01 14:30:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-01 14:45:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-01 15:00:00,2.353,2.353,0.08818885833282582,0.04488145421252408
2023-01-01 15:15:00,2.353,2.353,0.08818885833282582,0.04488145421252408
2023-01-01 15:30:00,2.353,2.353,0.08818885833282582,0.04488145421252408
2023-01-01 15:45:00,2.353,2.353,0.08818885833282582,0.04488145421252408
2023-01-01 16:00:00,3.654,3.654,0.13694946381136655,0.06969691189654185
2023-01-01 16:15:00,3.654,3.654,0.13694946381136655,0.06969691189654185
2023-01-01 16:30:00,3.654,3.654,0.13694946381136655,0.06969691189654185
2023-01-01 16:45:00,3.654,3.654,0.13694946381136655,0.06969691189654185
2023-01-01 17:00:00,4.603,4.603,0.17251734590140128,0.08779827188280848
2023-01-01 17:15:00,4.603,4.603,0.17251734590140128,0.08779827188280848
2023-01-01 17:30:00,4.603,4.603,0.17251734590140128,0.08779827188280848
2023-01-01 17:45:00,4.603,4.603,0.17251734590140128,0.08779827188280848
2023-01-01 18:00:00,5.557,5.557,0.2082726246304773,0.10599500257500907
2023-01-01 18:15:00,5.557,5.557,0.2082726246304773,0.10599500257500907
2023-01-01 18:30:00,5.557,5.557,0.2082726246304773,0.10599500257500907
2023-01-01 18:45:00,5.557,5.557,0.2082726246304773,0.10599500257500907
2023-01-01 19:00:00,5.495,5.495,0.20594890630636542,0.1048124058214279
2023-01-01 19:15:00,5.495,5.495,0.20594890630636542,0.1048124058214279
2023-01-01 19:30:00,5.495,5.495,0.20594890630636542,0.1048124058214279
2023-01-01 19:45:00,5.495,5.495,0.20594890630636542,0.1048124058214279
2023-01-01 20:00:00,4.923,4.923,0.18451073080004313,0.09390199706258226
2023-01-01 20:15:00,4.923,4.923,0.18451073080004313,0.09390199706258226
2023-01-01 20:30:00,4.923,4.923,0.18451073080004313,0.09390199706258226
2023-01-01 20:45:00,4.923,4.923,0.18451073080004313,0.09390199706258226
2023-01-01 21:00:00,4.499,4.499,0.16861949580934268,0.085814561199382
2023-01-01 21:15:00,4.499,4.499,0.16861949580934268,0.085814561199382
2023-01-01 21:30:00,4.499,4.499,0.16861949580934268,0.085814561199382
2023-01-01 21:45:00,4.499,4.499,0.16861949580934268,0.085814561199382
2023-01-01 22:00:00,4.596,4.596,0.1722549906067435,0.08766475289450093
2023-01-01 22:15:00,4.596,4.596,0.1722549906067435,0.08766475289450093
